排名,链接,图片,标题,可播放,导演,主演,上映日期,上映国家,影片类型,星级,评分,评价人数,名句
1,https://movie.douban.com/subject/1292052/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg,肖申克的救赎,1,弗兰克·德拉邦特,蒂姆·罗宾斯,1994,美国,犯罪 剧情,5.0,9.7,3030511,希望让人自由。
2,https://movie.douban.com/subject/1291546/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg,霸王别姬,1,陈凯歌,张国荣,1993,中国大陆 中国香港,剧情 爱情 同性,5.0,9.6,2240197,风华绝代。
3,https://movie.douban.com/subject/1292720/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2372307693.jpg,阿甘正传,1,罗伯特·泽米吉斯,汤姆·汉克斯,1994,美国,剧情 爱情,5.0,9.5,2258028,一部美国近现代史。
4,https://movie.douban.com/subject/1292722/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg,泰坦尼克号,1,詹姆斯·卡梅隆,莱昂纳多·迪卡普里奥,1997,美国 墨西哥,剧情 爱情 灾难,5.0,9.5,2297377,失去的才是永恒的。
5,https://movie.douban.com/subject/1291561/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg,千与千寻,0,宫崎骏,柊瑠美,2001,日本,剧情 动画 奇幻,4.5,9.4,2346347,最好的宫崎骏，最好的久石让。
6,https://movie.douban.com/subject/1295644/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg,这个杀手不太冷,0,吕克·贝松,让·雷诺,1994,法国 美国,剧情 动作 犯罪,4.5,9.4,2384717,怪蜀黍和小萝莉不得不说的故事。
7,https://movie.douban.com/subject/1292063/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg,美丽人生,1,罗伯托·贝尼尼,罗伯托·贝尼尼,1997,意大利,剧情 喜剧 爱情 战争,5.0,9.5,1382078,最美的谎言。
8,https://movie.douban.com/subject/1889243/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2614988097.jpg,星际穿越,1,克里斯托弗·诺兰,马修·麦康纳,2014,美国 英国 加拿大,剧情 科幻 冒险,4.5,9.4,1962939,爱是一种力量，让我们超越时空感知它的存在。
9,https://movie.douban.com/subject/3541415/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg,盗梦空间,1,克里斯托弗·诺兰,莱昂纳多·迪卡普里奥,2010,美国 英国,剧情 科幻 悬疑 冒险,4.5,9.4,2160821,诺兰给了我们一场无法盗取的梦。
10,https://movie.douban.com/subject/1292064/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg,楚门的世界,1,彼得·威尔,金·凯瑞,1998,美国,剧情 科幻,4.5,9.4,1816843,如果再也不能见到你，祝你早安，午安，晚安。
11,https://movie.douban.com/subject/1295124/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg,辛德勒的名单,1,史蒂文·斯皮尔伯格,连姆·尼森,1993,美国,剧情 历史 战争,5.0,9.5,1169032,拯救一个人，就是拯救整个世界。
12,https://movie.douban.com/subject/3011091/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2587099240.jpg,忠犬八公的故事,0,莱塞·霍尔斯道姆,理查·基尔,2009,美国 英国,剧情,4.5,9.4,1449130,永远都不能忘记你所爱的人。
13,https://movie.douban.com/subject/1292001/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2574551676.jpg,海上钢琴师,1,朱塞佩·托纳多雷,蒂姆·罗斯,1998,意大利,剧情 音乐,4.5,9.3,1746701,每个人都要走一条自己坚定了的路，就算是粉身碎骨。
14,https://movie.douban.com/subject/3793023/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg,三傻大闹宝莱坞,1,拉库马·希拉尼,阿米尔·汗,2009,印度,剧情 喜剧 爱情 歌舞,4.5,9.2,1937191,英俊版憨豆，高情商版谢耳朵。
15,https://movie.douban.com/subject/1291549/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2884280708.jpg,放牛班的春天,0,克里斯托夫·巴拉蒂,让-巴蒂斯特·莫尼...,2004,法国 瑞士 德国,剧情 音乐,4.5,9.3,1371943,天籁一般的童声，是最接近上帝的存在。
16,https://movie.douban.com/subject/2131459/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg,机器人总动员,1,安德鲁·斯坦顿,本·贝尔特,2008,美国,科幻 动画 冒险,4.5,9.3,1376416,小瓦力，大人生。
17,https://movie.douban.com/subject/25662329/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2614500649.jpg,疯狂动物城,1,拜伦·霍华德,金妮弗·...,2016,美国,喜剧 动画 冒险,4.5,9.2,2052490,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
18,https://movie.douban.com/subject/1307914/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2564556863.jpg,无间道,1,刘伟强,刘德华,2002,中国香港,剧情 犯罪 惊悚,4.5,9.3,1439537,香港电影史上永不过时的杰作。
19,https://movie.douban.com/subject/1296141/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1505392928.jpg,控方证人,1,比利·怀尔德,泰隆·鲍华,1957,美国,剧情 犯罪 悬疑,5.0,9.6,616847,比利·怀德满分作品。
20,https://movie.douban.com/subject/1292213/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg,大话西游之大圣娶亲,1,刘镇伟,周星驰,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装,4.5,9.2,1597156,一生所爱。
21,https://movie.douban.com/subject/5912992/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg,熔炉,0,黄东赫,孔侑,2011,韩国,剧情,4.5,9.4,971768,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
22,https://movie.douban.com/subject/1291841/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p616779645.jpg,教父,1,弗朗西斯·福特·科波拉,马龙·白兰度,1972,美国,剧情 犯罪,4.5,9.3,1017945,千万不要记恨你的对手，这样会让你失去理智。
23,https://movie.douban.com/subject/6786002/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg,触不可及,1,奥利维·那卡什,,2011,法国,剧情 喜剧,4.5,9.3,1181770,满满温情的高雅喜剧。
24,https://movie.douban.com/subject/1849031/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614359276.jpg,当幸福来敲门,1,加布里尔·穆奇诺,威尔·史密斯,2006,美国,剧情 传记 家庭,4.5,9.2,1582341,平民励志片。
25,https://movie.douban.com/subject/20495023/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2505426431.jpg,寻梦环游记,1,李·昂克里奇,...,2017,美国,喜剧 动画 奇幻 音乐,4.5,9.1,1782832,死亡不是真的逝去，遗忘才是永恒的消亡。
26,https://movie.douban.com/subject/1293172/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452089833.jpg,末代皇帝,1,贝纳尔多·贝托鲁奇,尊龙,1987,英国 意大利 中国大陆 法国,剧情 传记 历史,4.5,9.3,939684,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
27,https://movie.douban.com/subject/1291560/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.jpg,龙猫,0,宫崎骏,日高法子,1988,日本,动画 奇幻 冒险,4.5,9.2,1322055,人人心中都有个龙猫，童年就永远不会消失。
28,https://movie.douban.com/subject/3319755/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p501177648.jpg,怦然心动,1,罗伯·莱纳,玛德琳·卡罗尔,2010,美国,剧情 喜剧 爱情,4.5,9.1,1913475,真正的幸福是来自内心深处。
29,https://movie.douban.com/subject/1292365/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2597919477.jpg,活着,0,张艺谋,葛优,1994,中国大陆 中国香港,剧情 历史 家庭,4.5,9.3,893948,张艺谋最好的电影。
30,https://movie.douban.com/subject/1295038/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614949805.jpg,哈利·波特与魔法石,1,Chris,Daniel,2001,美国 英国,奇幻 冒险,4.5,9.2,1265266,童话世界的开端。
31,https://movie.douban.com/subject/1851857/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg,蝙蝠侠：黑暗骑士,1,克里斯托弗·诺兰,克里斯蒂安·贝尔,2008,美国 英国,剧情 动作 科幻 犯罪 惊悚,4.5,9.2,1112595,无尽的黑暗。
32,https://movie.douban.com/subject/1291552/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2642829472.jpg,指环王3：王者无敌,1,彼得·杰克逊,伊利亚·伍德,2003,美国 新西兰,剧情 动作 奇幻 冒险,4.5,9.3,843479,史诗的终章。
