排名,链接,图片,标题,可播放,导演,主演,上映日期,上映国家,影片类型,星级,评分,评价人数,名句
1,https://movie.douban.com/subject/1292052/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg,肖申克的救赎,可播放,弗兰克·德拉邦特,蒂姆·罗宾斯,1994,美国,犯罪 剧情,rating5-t,9.7,3029228,希望让人自由。
2,https://movie.douban.com/subject/1291546/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg,霸王别姬,可播放,陈凯歌,张国荣,1993,中国大陆 中国香港,剧情 爱情 同性,rating5-t,9.6,2239286,风华绝代。
3,https://movie.douban.com/subject/1292720/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2372307693.jpg,阿甘正传,可播放,罗伯特·泽米吉斯,汤姆·汉克斯,1994,美国,剧情 爱情,rating5-t,9.5,2257134,一部美国近现代史。
4,https://movie.douban.com/subject/1292722/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg,泰坦尼克号,可播放,詹姆斯·卡梅隆,莱昂纳多·迪卡普里奥,1997,美国 墨西哥,剧情 爱情 灾难,rating5-t,9.5,2296375,失去的才是永恒的。
5,https://movie.douban.com/subject/1291561/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg,千与千寻,不可播放,宫崎骏,柊瑠美,2001,日本,剧情 动画 奇幻,rating45-t,9.4,2345357,最好的宫崎骏，最好的久石让。
6,https://movie.douban.com/subject/1295644/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg,这个杀手不太冷,不可播放,吕克·贝松,让·雷诺,1994,法国 美国,剧情 动作 犯罪,rating45-t,9.4,2384003,怪蜀黍和小萝莉不得不说的故事。
7,https://movie.douban.com/subject/1292063/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg,美丽人生,可播放,罗伯托·贝尼尼,罗伯托·贝尼尼,1997,意大利,剧情 喜剧 爱情 战争,rating5-t,9.5,1381548,最美的谎言。
8,https://movie.douban.com/subject/1889243/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2614988097.jpg,星际穿越,可播放,克里斯托弗·诺兰,马修·麦康纳,2014,美国 英国 加拿大,剧情 科幻 冒险,rating45-t,9.4,1961768,爱是一种力量，让我们超越时空感知它的存在。
9,https://movie.douban.com/subject/3541415/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg,盗梦空间,可播放,克里斯托弗·诺兰,莱昂纳多·迪卡普里奥,2010,美国 英国,剧情 科幻 悬疑 冒险,rating45-t,9.4,2159905,诺兰给了我们一场无法盗取的梦。
10,https://movie.douban.com/subject/1292064/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg,楚门的世界,可播放,彼得·威尔,金·凯瑞,1998,美国,剧情 科幻,rating45-t,9.4,1815801,如果再也不能见到你，祝你早安，午安，晚安。
11,https://movie.douban.com/subject/1295124/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg,辛德勒的名单,可播放,史蒂文·斯皮尔伯格,连姆·尼森,1993,美国,剧情 历史 战争,rating5-t,9.5,1168583,拯救一个人，就是拯救整个世界。
12,https://movie.douban.com/subject/3011091/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2587099240.jpg,忠犬八公的故事,不可播放,莱塞·霍尔斯道姆,理查·基尔,2009,美国 英国,剧情,rating45-t,9.4,1448637,永远都不能忘记你所爱的人。
13,https://movie.douban.com/subject/1292001/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2574551676.jpg,海上钢琴师,可播放,朱塞佩·托纳多雷,蒂姆·罗斯,1998,意大利,剧情 音乐,rating45-t,9.3,1746044,每个人都要走一条自己坚定了的路，就算是粉身碎骨。
14,https://movie.douban.com/subject/3793023/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg,三傻大闹宝莱坞,可播放,拉库马·希拉尼,阿米尔·汗,2009,印度,剧情 喜剧 爱情 歌舞,rating45-t,9.2,1936470,英俊版憨豆，高情商版谢耳朵。
15,https://movie.douban.com/subject/1291549/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2884280708.jpg,放牛班的春天,不可播放,克里斯托夫·巴拉蒂,让-巴蒂斯特·莫尼...,2004,法国 瑞士 德国,剧情 音乐,rating45-t,9.3,1371401,天籁一般的童声，是最接近上帝的存在。
